attack_uid,target_host,host,item,key,itemid,value_type,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock,first_utc,last_utc,source
D-T0809-5,mqtt-broker,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,2,0.00018334388732910156,0.000206,0.0002295970916748047,0.0002295970916748047,1777742535,1777742565,2026-05-02T17:22:15Z,2026-05-02T17:22:45Z,history.get
D-T0814-5,telemetry-api,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,2,1.0,1.0,1.0,1.0,1777742530,1777742560,2026-05-02T17:22:10Z,2026-05-02T17:22:40Z,history.get
D-T0814-5,telemetry-api,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,2,0.00013327598571777344,0.000153,0.00017333030700683594,0.00013327598571777344,1777742531,1777742561,2026-05-02T17:22:11Z,2026-05-02T17:22:41Z,history.get
D-T0814-5,telemetry-api,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,2,1.0,1.0,1.0,1.0,1777742528,1777742558,2026-05-02T17:22:08Z,2026-05-02T17:22:38Z,history.get
D-T0814-5,telemetry-api,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,2,0.00019216537475585938,0.000207,0.00022268295288085938,0.00022268295288085938,1777742529,1777742559,2026-05-02T17:22:09Z,2026-05-02T17:22:39Z,history.get
D-T0814-5,telemetry-api,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,2,1.0,1.0,1.0,1.0,1777742532,1777742562,2026-05-02T17:22:12Z,2026-05-02T17:22:42Z,history.get
D-T0814-5,telemetry-api,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,2,0.0001785755157470703,0.000191,0.0002033710479736328,0.0002033710479736328,1777742533,1777742563,2026-05-02T17:22:13Z,2026-05-02T17:22:43Z,history.get
D-T0814-5,telemetry-api,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,2,1.0,1.0,1.0,1.0,1777742534,1777742564,2026-05-02T17:22:14Z,2026-05-02T17:22:44Z,history.get
D-T0814-5,telemetry-api,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,2,0.00018334388732910156,0.000206,0.0002295970916748047,0.0002295970916748047,1777742535,1777742565,2026-05-02T17:22:15Z,2026-05-02T17:22:45Z,history.get
D-T0860-5,vulnerable-app,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,2,1.0,1.0,1.0,1.0,1777742530,1777742560,2026-05-02T17:22:10Z,2026-05-02T17:22:40Z,history.get
D-T0860-5,vulnerable-app,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,2,0.00013327598571777344,0.000153,0.00017333030700683594,0.00013327598571777344,1777742531,1777742561,2026-05-02T17:22:11Z,2026-05-02T17:22:41Z,history.get
D-T0860-5,vulnerable-app,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,2,1.0,1.0,1.0,1.0,1777742528,1777742558,2026-05-02T17:22:08Z,2026-05-02T17:22:38Z,history.get
D-T0860-5,vulnerable-app,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,2,0.00019216537475585938,0.000207,0.00022268295288085938,0.00022268295288085938,1777742529,1777742559,2026-05-02T17:22:09Z,2026-05-02T17:22:39Z,history.get
D-T0860-5,vulnerable-app,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,2,1.0,1.0,1.0,1.0,1777742532,1777742562,2026-05-02T17:22:12Z,2026-05-02T17:22:42Z,history.get
D-T0860-5,vulnerable-app,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,2,0.0001785755157470703,0.000191,0.0002033710479736328,0.0002033710479736328,1777742533,1777742563,2026-05-02T17:22:13Z,2026-05-02T17:22:43Z,history.get
D-T0860-5,vulnerable-app,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,2,1.0,1.0,1.0,1.0,1777742534,1777742564,2026-05-02T17:22:14Z,2026-05-02T17:22:44Z,history.get
D-T0860-5,vulnerable-app,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,2,0.00018334388732910156,0.000206,0.0002295970916748047,0.0002295970916748047,1777742535,1777742565,2026-05-02T17:22:15Z,2026-05-02T17:22:45Z,history.get
